#,Material Name,Formula,Category,CAS No.,T_min (K),T_max (K),A,B,C,D,E,a0,a1,a2,a3,Poly R²,Cp @298K (J/kg·K),Molar Mass (g/mol),Density (kg/m³),Data Source,Phase / Notes
1,Aluminium,Al,Metals & Alloys,7429-90-5,298,933,28.0892,-5.414849,8.560423,3.42737,-0.277375,658.69,1.17102,-0.00144716,9.02E-07,0.999736,896.91,26.9815,2700,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
2,Copper,Cu,Metals & Alloys,7440-50-8,298,1358,17.72891,28.0987,-31.25289,13.97243,0.067924,307.022,0.362532,-0.000413151,1.94E-07,0.999926,384.6,63.546,8960,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
3,Iron,Fe,Metals & Alloys,7439-89-6,298,700,18.42868,24.64301,-8.913956,9.664706,0.012643,341.055,0.394313,-8.67E-05,1.34E-07,1,449.28,55.845,7874,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, alpha phase 298-700 K"
4,Iron,Fe,Metals & Alloys,7439-89-6,700,1042,-57768,137319,-109235,29327.8,-33.8926,-1042790,2478.37,-1.9729,0.000530336,1,824.07,55.845,7874,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, alpha (Schottky anomaly near Curie T)"
5,Iron,Fe,Metals & Alloys,7439-89-6,1042,1809,24.2751,4.9559,0.003538,-0.01629,-0.14553,420.754,0.108786,-1.06E-05,1.72E-09,1,824.07,55.845,7874,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, gamma+delta 1042-1809 K"
6,Nickel,Ni,Metals & Alloys,7440-02-0,600,1728,32.67702,-6.4572,2.91608,-0.01571,-6.50605,-543.646,1.95086,-0.00134267,3.23E-07,0.998044,885.96,58.6934,8908,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid 600-1728 K (use range above magnetic anomaly)
7,Cobalt,Co,Metals & Alloys,7440-48-4,298,700,10.96287,54.38548,-56.28237,25.78,0,186.022,0.922833,-0.00095502,4.37E-07,1,420.99,58.9332,8900,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, alpha 298-700 K"
8,Cobalt,Co,Metals & Alloys,7440-48-4,700,1768,31.8602,0,0,0,-2.06,251.868,0.50063,-0.000315866,6.89E-08,0.999076,695.7,58.9332,8900,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, beta+gamma 700-1768 K"
9,Chromium,Cr,Metals & Alloys,7440-47-3,600,2180,18.46508,5.477986,7.904329,-1.147848,-1.398636,140.457,0.454699,-4.95E-05,1.72E-08,0.999958,540.81,51.9961,7190,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid 600-2180 K
10,Titanium,Ti,Metals & Alloys,7440-32-6,298,1155,-8.35874,87.1601,-85.8213,28.2868,6.02874,3662.03,-10.2566,0.0116095,-4.42E-06,0.988475,528.55,47.867,4507,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, alpha 298-1155 K"
11,Titanium,Ti,Metals & Alloys,7440-32-6,1155,1941,25.0406,0,0,0,-0.01867,521.377,0.00231407,-1.14E-06,1.96E-10,0.999968,640.32,47.867,4507,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, beta 1155-1941 K"
12,Vanadium,V,Metals & Alloys,7440-62-2,298,2183,21.35712,9.13193,-0.58112,0.04874,-0.30918,315.908,0.39308,-0.000158368,3.36E-08,0.999078,488.6,50.9415,6110,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
13,Manganese,Mn,Metals & Alloys,7439-96-5,298,980,27.2419,5.23783,7.78301,-1.94882,0,495.866,0.0953407,0.000141669,-3.55E-08,1,478.18,54.938,7470,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, alpha 298-980 K"
14,Manganese,Mn,Metals & Alloys,7439-96-5,980,1519,39.3,0,0,0,0,715.352,3.52E-14,-2.84E-17,7.60E-21,1,761.59,54.938,7470,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, beta+gamma+delta 980-1519 K"
15,Zinc,Zn,Metals & Alloys,7440-66-6,298,693,25.6039,-3.93914,19.9655,-7.24827,0,391.617,-0.0602499,0.000305376,-1.11E-07,1,388.35,65.38,7133,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
16,Magnesium,Mg,Metals & Alloys,7439-95-4,298,923,26.9843,-1.95067,7.88613,0.89392,0,1110.24,-0.080258,0.000324465,3.68E-08,1,1022.83,24.305,1738,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
17,Silicon,Si,Metals & Alloys,7440-21-3,298,1685,22.81719,3.89951,-0.082885,0.042111,-0.354063,541.132,0.808386,-0.000565879,1.57E-07,0.996628,711.76,28.0855,2329,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
18,Germanium,Ge,Metals & Alloys,7440-56-4,298,1211,23.3497,0.00655,2.97968,0.03581,-0.66882,53.0402,0.820467,-0.000839202,3.18E-07,0.996709,319.7,72.63,5323,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,Solid
19,Tin,Sn,Metals & Alloys,7440-31-5,286,505,27.7154,-0.032695,7.66013,-2.28044,0.022755,246.854,-0.0697627,0.000198282,-1.10E-07,0.999998,227.36,118.71,7287,NIST-JANAF (Chase 1998) — NIST Chemistry WebBook SRD 69,"Solid, white/beta 286-505 K"
